PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,BATS,IDPLAYER
Ali Solis,Ali,Solis,CHC,C,32114,Ali Solis,R,solisal01
Matt Szczur,Matt,Szczur,CHC,OF,31337,Matt Szczur,R,szczuma01
Jemile Weeks,Jemile,Weeks,CHC,2B,30035,Jemile Weeks,B,weeksje01
Ben Zobrist,Ben,Zobrist,CHC,2B,28536,Ben Zobrist,B,zobribe01
Jose Abreu,Jose,Abreu,CHW,1B,33095,Jose Abreu,R,abreujo02
Tim Anderson,Tim,Anderson,CHW,SS,33184,Tim Anderson,R,anderti01
Melky Cabrera,Melky,Cabrera,CHW,OF,6347,Melky Cabrera,B,cabreme01
Zack Collins,Zack,Collins,CHW,C,,,L,colliza01
Matt Davidson,Matt,Davidson,CHW,DH,31145,Matt Davidson,R,davidma02
Todd Frazier,Todd,Frazier,CHW,3B,30004,Todd Frazier,R,frazito01
Avisail Garcia,Avisail,Garcia,CHW,OF,30729,Avisail Garcia,R,garciav01
Leury Garcia,Leury,Garcia,CHW,OF,,,B,garcile02
Rymer Liriano,Rymer,Liriano,CHW,OF,31278,Rymer Liriano,R,liriary01
Yoan Moncada,Yoan,Moncada,CHW,3B,33984,Yoan Moncada,B,moncayo01
Omar Narvaez,Omar,Narvaez,CHW,C,34254,Omar Narvaez,L,narvaom01
Mike Olt,Mike,Olt,CHW,3B,31218,Mike Olt,R,oltmi01
Tyler Saladino,Tyler,Saladino,CHW,SS,31190,Tyler Saladino,R,saladty01
Yolmer Sanchez,Yolmer,Sanchez,CHW,2B,32264,Yolmer Sanchez,B,sanchca01
Jerry Sands,Jerry,Sands,CHW,DH,30867,Jerry Sands,R,sandsje01
Geovany Soto,Geovany,Soto,CHW,C,6428,Geovany Soto,R,sotoge01
Charlie Tilson,Charlie,Tilson,CHW,OF,,,L,tilsoch01
Arismendy Alcantara,Arismendy,Alcantara,CIN,OF,32823,Arismendy Alcantara,B,alcanar01
Tucker Barnhart,Tucker,Barnhart,CIN,C,31173,Tucker Barnhart,B,barnhtu01
Rob Brantly,Rob,Brantly,CIN,C,31133,Rob Brantly,L,brantro01
Zack Cozart,Zack,Cozart,CIN,SS,30466,Zack Cozart,R,cozarza01
Adam Duvall,Adam,Duvall,CIN,OF,32664,Adam Duvall,R,duvalad01
Scooter Gennett,Scooter,Gennett,CIN,2B,31175,Scooter Gennett,L,gennesc01
Billy Hamilton,Billy,Hamilton,CIN,OF,31042,Billy Hamilton,B,hamilbi02
Dilson Herrera,Dilson,Herrera,CIN,2B,,,R,herredi01
Desmond Jennings,Desmond,Jennings,CIN,OF,30493,Desmond Jennings,R,jennide01
Devin Mesoraco,Devin,Mesoraco,CIN,C,29950,Devin Mesoraco,R,mesorde01
Jose Peraza,Jose,Peraza,CIN,SS,32470,Jose Peraza,R,perazjo01
Scott Schebler,Scott,Schebler,CIN,OF,33353,Scott Schebler,L,schebsc01
Nick Senzel,Nick,Senzel,CIN,3B,,,R,senzeni01
Eugenio Suarez,Eugenio,Suarez,CIN,3B,32367,Eugenio Suarez,R,suareeu01
Joey Votto,Joey,Votto,CIN,1B,28670,Joey Votto,L,vottojo01
Jesse Winker,Jesse,Winker,CIN,OF,32833,Jesse Winker,L,winkeje01
Greg Allen,Greg,Allen,CLE,OF,,,B,allengr01
Abraham Almonte,Abraham,Almonte,CLE,OF,31474,Abraham Amonte,B,almonab01
Bobby Bradley,Bobby,Bradley,CLE,1B,,,L,bradlbo01
Michael Brantley,Michael,Brantley,CLE,OF,30043,Michael Brantley,L,brantmi02
Lonnie Chisenhall,Lonnie,Chisenhall,CLE,OF,30523,Lonnie Chisenhall,L,chiselo01
Chris Colabello,Chris,Colabello,CLE,1B,32678,Chris Colabello,R,colabch01
Yandy Diaz,Yandy,Diaz,CLE,3B,,,R,diazya01
Edwin Encarnacion,Edwin,Encarnacion,CLE,1B,5904,Edwin Encarnacion,R,encared01
Yan Gomes,Yan,Gomes,CLE,C,32108,Yan Gomes,R,gomesya01
Brandon Guyer,Brandon,Guyer,CLE,OF,30708,Brandon Guyer,R,guyerbr01
Austin Jackson,Austin,Jackson,CLE,OF,29453,Austin Jackson,R,jacksau01
Jason Kipnis,Jason,Kipnis,CLE,2B,31007,Jason Kipnis,L,kipnija01
Francisco Lindor,Francisco,Lindor,CLE,SS,32129,Francisco Lindor,B,lindofr01
Michael Martinez,Michael,Martinez,CLE,2B,30986,Michael Martinez,B,martimi02
Francisco Mejia,Francisco,Mejia,CLE,C,,,B,mejiafr01
