IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,KFFLNAME,THROWS
giolilu01,Lucas Giolito,Lucas,Giolito,CHW,P,32697,Lucas Giolito,,R
givenmy01,Mychal Givens,Mychal,Givens,BAL,P,31618,Mychal Givens,,R
glasnty01,Tyler Glasnow,Tyler,Glasnow,PIT,P,33190,Tyler Glasnow,,R
gomezje01,Jeanmar Gomez,Jeanmar,Gomez,PHI,P,30525,Jeanmar Gomez,,R
gonzach01,Chi Chi Gonzalez,Chi,Chi Gonzalez,TEX,P,33386,Chi Chi Gonzalez,,R
gonzagi01,Gio Gonzalez,Gio,Gonzalez,WAS,P,28962,Gio Gonzalez,,L
gonzama02,Marco Gonzales,Marco,Gonzales,STL,P,33158,Marco Gonzales,,L
gonzami03,Miguel Gonzalez,Miguel,Gonzalez,CHW,P,29310,Miguel Gonzalez,,R
gonzase01,Severino Gonzalez,Severino,Gonzalez,MIA,P,33238,Severino Gonzalez,,R
graveke01,Kendall Graveman,Kendall,Graveman,OAK,P,33636,Kendall Graveman,,R
grayjo02,Jon Gray,Jon,Gray,COL,P,33203,Jon Gray,,R
grayso01,Sonny Gray,Sonny,Gray,OAK,P,32082,Sonny Gray,,R
greench03,Chad Green,Chad,Green,NYY,P,33325,Chad Green,,R
greensh02,Shane Greene,Shane,Greene,DET,P,32704,Shane Greene,,L
gregelu01,Luke Gregerson,Luke,Gregerson,HOU,P,30276,Luke Gregerson,,R
greinza01,Zack Greinke,Zack,Greinke,ARI,P,5883,Zack Greinke,,R
griffaj01,A.J. Griffin,A.J.,Griffin,TEX,P,32559,A.J. Griffin,,R
grillja01,Jason Grilli,Jason,Grilli,TOR,P,4350,Jason Grilli,,R
grimmju01,Justin Grimm,Justin,Grimm,CHC,P,31753,Justin Grimm,,R
gsellro01,Robert Gsellman,Robert,Gsellman,NYM,P,34872,Robert Gsellman,,R
guerrja01,Javy Guerra,Javy,Guerra,MIA,P,30505,Javy Guerra,,R
guerrju02,Junior Guerra,Junior,Guerra,MIL,P,34241,Junior Guerra,,R
guerrta02,Taylor Guerrieri,Taylor,Guerrieri,TB,P,32167,Taylor Guerrieri,,R
hagadni01,Nick Hagadone,Nick,Hagadone,SEA,P,29992,Nick Hagadone,,L
hahnje01,Jesse Hahn,Jesse,Hahn,OAK,P,33108,Jesse Hahn,,R
hamelco01,Cole Hamels,Cole,Hamels,TEX,P,6216,Cole Hamels,,L
hammeja01,Jason Hammel,Jason,Hammel,KC,P,6480,Jason Hammel,,R
handbr01,Brad Hand,Brad,Hand,SD,P,31077,Brad Hand,,L
happja01,J.A. Happ,J.A.,Happ,TOR,P,28817,J.A. Happ,,L
harriwi10,Will Harris,Will,Harris,HOU,P,32566,Will Harris,,R
harvehu01,Hunter Harvey,Hunter,Harvey,BAL,P,33191,Hunter Harvey,,R
harvema01,Matt Harvey,Matt,Harvey,NYM,P,31214,Matt Harvey,,R
hatchch02,Chris Hatcher,Chris,Hatcher,LAD,P,30648,Chris Hatcher,,R
heanean01,Andrew Heaney,Andrew,Heaney,LAA,P,32672,Andrew Heaney,,L
