ESPN_ID,Pitcher_name(FL),Name(FL),H_Team,H/A,Bats,NP,PA,AB,Hits,2B,3B,HR,Runs,RBI,BB,IBB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,ESPN_ID(p),Pitcher_name(FL),P_Team,Throws,Stadium
31682,Dallas Keuchel,Cheslor Cuthbert,kc,H,R,27,9,9,5,2,0,2,2,6,0,0,0,0,0,0,0.556,0.556,1.444,2,0.822,31815,Dallas Keuchel,hou,L,Kauffman Stadium
34886,Jason Vargas,Alex Bregman,hou,A,R,16,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.3,6352,Jason Vargas,kc,L,Kauffman Stadium
32653,Jason Vargas,Carlos Correa,hou,A,R,12,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.3,6352,Jason Vargas,kc,L,Kauffman Stadium
31662,Jason Vargas,Jose Altuve,hou,A,R,38,12,12,5,0,0,1,2,3,0,0,2,0,1,1,0.417,0.417,0.667,1.083,0.467,6352,Jason Vargas,kc,L,Kauffman Stadium
32078,Jason Vargas,George Springer,hou,A,R,20,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0.333,0,0.333,0.233,6352,Jason Vargas,kc,L,Kauffman Stadium
30327,Jason Vargas,Marwin Gonzalez,hou,A,S,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6352,Jason Vargas,kc,L,Kauffman Stadium
32863,Jason Vargas,Evan Gattis,hou,A,R,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.45,6352,Jason Vargas,kc,L,Kauffman Stadium
36006,Jason Vargas,Yuli Gurriel,hou,A,R,9,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6352,Jason Vargas,kc,L,Kauffman Stadium
30195,Jason Vargas,Josh Reddick,hou,A,L,100,31,31,7,1,0,1,3,2,0,0,3,0,0,0,0.226,0.226,0.355,0.581,0.25,6352,Jason Vargas,kc,L,Kauffman Stadium
6309,Jason Vargas,Brian McCann,hou,A,L,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6352,Jason Vargas,kc,L,Kauffman Stadium
32053,Jason Vargas,Norichika Aoki,hou,A,L,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6352,Jason Vargas,kc,L,Kauffman Stadium
3971,Jason Vargas,Carlos Beltran,hou,A,S,42,14,12,6,1,0,1,3,4,2,2,0,0,1,0,0.5,0.571,0.833,1.405,0.589,6352,Jason Vargas,kc,L,Kauffman Stadium
28661,Luis Perdomo,Gregor Blanco,ari,H,L,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0.9,35970,Luis Perdomo,sd,R,Chase Field
31027,Luis Perdomo,Paul Goldschmidt,ari,H,R,53,14,13,7,1,0,2,5,6,0,0,0,1,0,0,0.538,0.571,1.077,1.648,0.682,35970,Luis Perdomo,sd,R,Chase Field
30475,Luis Perdomo,Daniel Descalso,ari,H,L,19,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.18,35970,Luis Perdomo,sd,R,Chase Field
